"가게001" "규모"
"가게001" "물건"
"가게001" "파다"
"가게001" "집"
"가게002" "길거리"
"가게002" "임시"
"가게002" "물건"
"가게002" "벌이다"
"가게002" "파다"
"가게002" "곳"
"가겟집001" "가게"
"가겟집001" "벌이다"
"가겟집001" "장사"
"가겟집001" "하다"
"가겟집001" "집"
"가겟집002" "가게"
"가겟집002" "쓰다"
"가겟집002" "집"
"가격003" "물건"
"가격003" "지니다"
"가격003" "가치"
"가격003" "돈"
"가격003" "나타내다"
"가구007" "집안"
"가구007" "살림"
"가구007" "쓰다"
"가구007" "기구"
"가구007" "장롱"
"가구007" "비교"
"가구007" "제품"
"가구007" "이른다"
"가까이001" "지점"
"가까이001" "거리"
"가까이001" "떨어지다"
"가까이001" "상태"
"가까이004" "곳"
"가까이하다001" "사람"
"가까이하다001" "사람"
"가까이하다001" "사이"
"가까이하다001" "관계"
"가까이하다001" "친밀"
"가까이하다001" "하다"
"가까이하다002" "하다"
"가까이하다002" "즐기다"
"가깝다001" "곳"
"가깝다001" "곳"
"가깝다001" "거리"
"가깝다002" "서로"
"가깝다002" "사이"
"가깝다002" "다정"
"가깝다005" "시간"
"가깝다005" "오다"
"가깝다006" "촌수"
"가끔001" "시간"
"가끔001" "간격"
"가끔001" "얼마"
"가난001" "살림살이"
"가난001" "상태"
"가난뱅이001" "가난"
"가난뱅이001" "사람"
"가난뱅이001" "낮잡다"
"가난뱅이001" "이르다"
"가난뱅이001" "말"
"가늘다001" "물체"
"가늘다001" "지름"
"가늘다001" "보통"
"가늘다001" "경우"
"가늘다001" "미치다"
"가늘다002" "소리"
"가늘다002" "울림"
"가늘다002" "보통"
"가늘다002" "미치다"
"가늘다006" "사이"
"가능001" "하다"
"가능001" "있다"
"가능001" "되다"
"가능001" "있다"
"가다001" "곳"
"가다001" "곳"
"가다001" "장소"
"가다001" "이동"
"가다002" "수레"
"가다002" "배"
"가다002" "자동차"
"가다002" "비행기"
"가다002" "운행"
"가다002" "다니다"
"가다007" "물건"
"가다007" "권리"
